x,y,yaw
9.60078e-09,-2.21404e-21,-4.60503e-13
9.60078e-09,-2.21404e-21,-4.60502e-13
9.60078e-09,-2.21404e-21,-4.60501e-13
9.60078e-09,-2.21404e-21,-4.605e-13
9.60078e-09,-2.21404e-21,-4.605e-13
9.60078e-09,-2.21404e-21,-4.605e-13
9.60078e-09,-2.21404e-21,-4.605e-13
9.60078e-09,-2.21404e-21,-4.605e-13
9.60078e-09,-2.21404e-21,-4.605e-13
9.60078e-09,-2.21404e-21,-4.605e-13
9.60078e-09,-2.21404e-21,-4.605e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
9.60078e-09,-2.21404e-21,-4.60499e-13
