x,y,yaw
-0.398907,-0.458293,-0.551752
-0.374472,-0.483283,-0.56471
-0.349574,-0.495034,-0.591184
-0.289988,-0.496733,-0.583229
-0.242864,-0.508569,-0.590637
-0.257269,-0.512707,-0.617081
-0.275978,-0.511863,-0.621489
-0.274005,-0.499753,-0.622908
-0.2724,-0.498707,-0.598376
-0.27801,-0.515147,-0.594848
-0.281217,-0.53194,-0.598343
-0.301682,-0.545148,-0.591747
-0.346331,-0.549817,-0.601038
-0.368068,-0.549551,-0.606753
-0.378507,-0.533075,-0.635411
-0.374183,-0.521991,-0.653342
-0.33447,-0.542385,-0.637789
-0.339314,-0.560152,-0.608528
-0.377286,-0.563276,-0.609754
-0.404759,-0.567061,-0.595006
-0.445127,-0.57137,-0.586271
-0.481691,-0.54975,-0.574994
-0.527107,-0.510658,-0.562652
-0.567939,-0.471539,-0.556241
-0.584514,-0.448808,-0.560181
-0.616885,-0.464587,-0.561634
-0.622799,-0.484581,-0.588362
-0.602225,-0.502242,-0.600081
-0.599612,-0.47229,-0.5734
-0.620858,-0.457137,-0.561888
-0.619868,-0.457101,-0.568074
-0.6014,-0.437722,-0.608505
-0.582659,-0.411098,-0.641726
-0.561505,-0.390547,-0.670502
-0.561577,-0.399571,-0.681939
-0.579933,-0.430982,-0.683321
-0.588197,-0.461904,-0.686155
-0.566625,-0.493094,-0.6825
-0.547689,-0.527338,-0.65108
-0.545298,-0.54422,-0.658223
-0.53303,-0.529604,-0.686238
-0.477907,-0.515366,-0.726339
-0.401566,-0.482791,-0.691591
-0.435695,-0.449553,-0.631663
-0.48158,-0.441662,-0.608419
-0.487144,-0.46123,-0.603247
-0.488252,-0.464951,-0.575236
-0.511813,-0.477553,-0.566133
-0.525398,-0.485309,-0.549355
-0.488051,-0.480348,-0.487771
-0.467887,-0.487121,-0.463924
-0.469668,-0.483691,-0.472079
-0.473114,-0.498526,-0.479909
-0.448606,-0.518894,-0.490489
-0.366628,-0.500181,-0.472497
-0.351478,-0.499883,-0.455276
-0.356237,-0.500808,-0.453699
-0.352149,-0.521016,-0.443912
-0.349224,-0.513353,-0.407154
-0.359103,-0.50746,-0.389768
-0.340343,-0.496019,-0.395519
-0.29388,-0.463004,-0.409528
-0.316981,-0.454644,-0.445025
-0.344683,-0.446736,-0.465826
-0.344402,-0.452777,-0.467811
-0.355645,-0.464041,-0.466017
-0.370369,-0.468172,-0.457328
-0.394468,-0.491104,-0.464929
-0.417743,-0.519891,-0.488023
-0.41004,-0.503908,-0.511019
-0.401965,-0.471681,-0.530266
-0.417138,-0.467542,-0.549239
-0.421637,-0.472118,-0.541247
-0.452766,-0.487953,-0.499145
-0.456034,-0.502445,-0.485127
-0.476671,-0.50804,-0.504581
-0.481334,-0.517814,-0.518229
-0.489081,-0.529396,-0.51538
-0.514299,-0.526586,-0.487671
-0.537805,-0.521483,-0.425121
-0.548301,-0.539091,-0.413506
-0.540655,-0.555354,-0.398962
-0.549203,-0.564208,-0.390281
-0.541917,-0.587426,-0.415723
-0.553707,-0.586996,-0.42643
-0.551127,-0.557414,-0.418389
-0.544148,-0.524514,-0.411162
-0.501222,-0.513615,-0.393682
-0.487826,-0.527223,-0.404374
-0.486653,-0.522552,-0.407941
-0.496983,-0.530361,-0.42642
-0.492014,-0.525627,-0.427213
-0.467357,-0.540656,-0.416538
-0.465358,-0.549915,-0.411705
-0.488537,-0.550363,-0.418204
-0.502506,-0.563653,-0.430714
-0.505055,-0.572052,-0.431109
-0.480676,-0.539544,-0.436145
-0.457979,-0.555419,-0.458641
-0.402607,-0.546479,-0.469453
-0.396654,-0.534111,-0.466542
-0.401202,-0.519384,-0.485933
-0.417904,-0.483648,-0.471714
-0.415662,-0.421459,-0.460959
-0.426677,-0.381802,-0.486533
-0.425997,-0.375787,-0.503697
-0.410516,-0.346116,-0.515146
-0.38844,-0.308419,-0.515699
-0.378129,-0.306195,-0.513114
-0.361281,-0.302528,-0.471417
-0.344628,-0.303352,-0.41084
-0.357527,-0.31464,-0.393682
-0.357874,-0.336954,-0.389538
-0.352152,-0.341051,-0.370077
-0.331119,-0.338705,-0.355458
-0.357722,-0.3165,-0.332383
-0.385236,-0.318871,-0.326343
-0.40807,-0.328015,-0.340863
-0.39384,-0.29956,-0.377711
-0.373626,-0.256679,-0.406195
-0.378139,-0.244822,-0.428564
-0.391778,-0.267383,-0.438991
-0.371461,-0.289503,-0.448359
-0.36152,-0.330579,-0.461169
-0.385369,-0.347644,-0.476459
-0.38282,-0.33325,-0.487643
-0.393621,-0.336362,-0.519722
-0.38628,-0.337349,-0.543635
-0.384931,-0.337933,-0.515748
-0.4097,-0.355721,-0.501143
-0.423406,-0.367983,-0.508331
-0.424219,-0.35052,-0.511031
-0.43355,-0.351009,-0.496437
-0.451856,-0.345772,-0.501732
-0.468014,-0.353077,-0.501097
-0.463575,-0.360079,-0.517461
-0.458736,-0.381894,-0.536817
-0.462868,-0.377706,-0.536226
-0.453139,-0.395611,-0.52935
-0.455745,-0.409415,-0.538453
-0.412755,-0.433002,-0.513282
-0.416,-0.458673,-0.517073
-0.440476,-0.471591,-0.509871
-0.45839,-0.464548,-0.497642
-0.476585,-0.469337,-0.489037
-0.505245,-0.481299,-0.503746
-0.506204,-0.491419,-0.489335
-0.501774,-0.513674,-0.471294
-0.499482,-0.517925,-0.473035
-0.501799,-0.513139,-0.481587
-0.489723,-0.51537,-0.490605
-0.48224,-0.544423,-0.487978
-0.47422,-0.548527,-0.494352
-0.498755,-0.557336,-0.511817
-0.518173,-0.554298,-0.526855
-0.534534,-0.568333,-0.524234
-0.537466,-0.519457,-0.523926
-0.5611,-0.490603,-0.508368
-0.577236,-0.496304,-0.520524
-0.578744,-0.471409,-0.545049
-0.566936,-0.44782,-0.572458
-0.515073,-0.475628,-0.581255
-0.52894,-0.503078,-0.593958
-0.547224,-0.516241,-0.584722
-0.528148,-0.482768,-0.559689
-0.523259,-0.460757,-0.565649
-0.505991,-0.426404,-0.581467
-0.492962,-0.375235,-0.580849
-0.481368,-0.361229,-0.538522
-0.460339,-0.33206,-0.520882
-0.440724,-0.291408,-0.508026
-0.437236,-0.302454,-0.521607
